FFCDBEGBBC FDFDBDBDCG
FEDFEEDFDB DEECEEADFD
CDFGEBFAFC GDAECAEFGF
AABFACFEFG EFCDFECGEC
ADGGGBCEGC CGBAEBADEE
BFGADEBEAG EGFBABGBDB
ECCEAGEFGG GFCEGCAFGC
AFBBCEBFAA GEAFDFFADA
FGDFGBECEF ABBAFCABBA
CDAEDGEADC FEBBEEGGBA
EBBDFBBEFE FECGDCGBDA
BGGFDEDDBA CDGGEFGFCE
DCFEEEFCFG ACCABEAGFE
ECEGBFFGCA GCCEABDGAF
DFCACBCBEE GGEBBGGFFF
FGFBABABBC EEBGCGBFGE
GGADCBGCGE GEBBABGFEF
GGBEDAACFA ECGACGDDAG
EBBAGGCDBG DDGAAGAFEF
CDGGGBGBEB DFEFDCABCD
ACAGBDAEBA DFECEFGGGB
DFAGGEBFFC BDEFFBFEFB
BACCABEBDA GGDDGDFEBE
GBBBAEACEF AEGECFCDFG
EGGFFCABDF GAFGCGBCAG
CFEFDFABEC BEFBEDBDDE
EBFDDAEGCB EBFAEGCFDB
FEEBGFFFCA GEDCBAGGCG
AGBEFAEFCB AGFBCDFADC
DAADAFBAFC FGGAGGABDA
GCFDCFBFAG GGBGGFFGFA
CFFFEECEGA DDACFFECGG
GFGGEAFCGC AGAAAGGFBB
BAGEDCACBA BDABFCCEDE
BFABAGCGCA DDGAAEFBCG
ABGAGBCGEB EDAGGAADFD
EACADEBEAG ADFFGFGFDF
FDCGGEGDCG BFBBEBFCCC
ECCFACAEAE CCECGCDCAE
BDGFDGEBDG BGECEEFCCF
AACFGFABGE ECBFDDCCDD
CDAFBDFCDB AGDGDBAGBF
EADACGGFBA EFEGGDGCEG
EEEECAGBDE DEEACFAGEC
AGFBEBFEAF CBADFEBDAE
CBEADDEFGA AADEDCEECC
DFEGGDDACB ABAAFCECGB
EFGAADAGEA AFGCCCGGGA
ADAAFAECCC GEFEEFBBBG
GDFGBACACA DBBFGDBBAA
EEGDDABGEF GBGCCCBCDA
FCFDGCEBGB AGDDDDADEB
ECGFAEGFFG EBGFDBBGCF
FCEFBGFGCC BGCEDGFCAC
CFEFDBCBFD GEDCDFDCCG
DBBEBAABFF CDBEDDDFDD
