FECD FDAD
AGEE CFBB
BFFD GFEF
FFGB FFCB
BCCF EFDC
CEAF FGBE
CACE CBFG
DFBC BEDF
DEGD CCCB
ACFE GBEF
CDGF AEFE
ABCD EAEE
BEAG BBGG
GDFB ECDG
BFBB DFFF
AGEA GFEA
ADBE DGAB
GCED BACE
DADC GGFD
GGEA ACBD
CABA DGDD
EADC BEFE
CCCC GDEF
EBFG DFCC
GBEA AAGC
EEEA AEEB
GDBE ADGF
FACA GBFG
BBEE BGAA
BAEB DBDG
GFCG BDDA
DDED EDCG
EGFA ACBA
DCGA DGEC
AGCD CFED
CDAD EFFF
BFEB FGCF
AEDB EFAD
GCFG DAFA
GFEA BDEE
BDEF GBEF
FBDC CGAE
CEDG DADA
BBFF GEEC
BADB GCDD
DGCB AEED
EBBE DAEE
AGFC GGFG
CAGE CAAD
BAGC EBBF
BFCG GCEG
CACB GBCG
GBEB EEBD
FAAE EDEG
BFAE DFCE
CEAC DGBD
CBFA GACG
CDGF BDFD
EBFA FGEE
EBBA FBFA
EADE CFFE
ABAB AFDE
ACBG DBAD
BAGA DAEA
CAGG FBDA
EDEB BCDF
CBAD DCDA
CCBE GGGF
CEAB FDAC
CFAG DDDC
GADE BBGC
BFFB FEAE
CBED BGEE
BCDF FACD
GFBB ABAD
GCDG CFFD
DGEC FCCD
DDEC EFCE
FGEE CADD
AADF AAFD
EGEC DFAF
CFGG BDGC
GFGA AGEF
EFDD FEAF
AAAC CGBC
BDGG FBAC
GEDE GGBG
FGFB CFED
BBGB GDGD
DFFD GBCE
ADAE GEAF
ADGD EEGG
FCCE BGEC
FAFB CCGA
ECGB FGEG
GFFC ADFB
BBGA ECFE
DFGG EEGE
CCGF AGBA
ABGF GDBE
CFBB GBFD
CGEF FBAA
AECG EABA
CCDD EADA
FBBD FECG
BBGG EAGG
ABBF GGAB
GFAB BAAA
GEDF BDFE
GFAD GDBB
DDGB DECG
AAGA CEDE
DCDB FFEF
GDEE CBFG
DFAB BAAA
ABAD CABE
FGBF EGGF
CGGB EEGE
EFBG DBED
CDGC CDGE
EAEC FAGE
GCBA BBDF
GBAG BCEG
GBFA ADCB
BEBB BAEB
AFDD FCGF
FBGC CFEE
DGDG FGCD
ABBC DBEF
CACD DACE
FGFG EBGG
AFAD GGCE
BDBF FGCF
BACE AFDA
FDEA FFDF
FDGB FCFE
BAEA AGEC
FDCD FFCD
DCAG ADGD
GFDE EDCA
ACBD DEAB
BEGG AFCB
EEEE ACBG
ACBD FBFB
DCGD BBBF
CDCB DBFA
AFEG EDBB
EFGC ACFB
CBGG DACA
AGGE ACAA
CBCE AAEG
DDDA FBFC
BBBG CGCB
BBED EBBG
AAAC FDGE
ABDD CBEG
BEEE FDAA
CADD EEDB
ABFG DFBB
FBEF CDDC
CAGC ECFC
BFEA DDBG
AGEC GGGE
CACB FBEF
EBEG BCDE
DDEB FEGB
BGCC DGDD
CDDE BAAA
GCGD FBCF
AEDD DBDG
EGCE BBDA
FEGA FFCE
DFAF FDDG
CDGF EAFF
DEGD CFFF
FFEF GBBC
GFCB CCBG
FFDE FBDF
EACE BFAF
CEDE CEGG
DCDC FEDF
EBBF EDGA
DABG BFFA
CDAF BBGA
EADC DFCB
BDCG GDCA
BBGF CBCB
FFEA BAED
AEFF FAGA
DACA DABB
DEGB ADFF
GACD AGDE
DAGC AFGF
FGCE GDEE
BEBE BECA
BGBE GBDD
GBCG FCAE
FCEF EGED
AAAF ECDD
EFBG EBDG
FGEG BCDC
ABDE BAAD
CCEB BADA
AACF FFEF
EEGE AEEC
BFEA DDCE
AEEF AGCE
AGCB FEED
GBCG BECD
ACCD AFAF
EEBF BAEC
BGAF DFEE
FAAB FFCC
FFEG DDEC
ABGG CDFE
BGCE ECBD
GFDE GBDA
CEFD BDDC
GDDG GAGD
GACC CBGC
AAEA AGFA
BGGF DBEC
BDDD DDDE
BBDB EGDD
BFCD AADD
BBCA GDDG
ACAC CCCG
EACF EAAF
GAEF BBBG
CADE FCFD
BACF GGAE
CECA FDDB
ABEG BCDG
DBFC GCBE
EABD ECCC
DADC AGFD
EBEA EAFC
AGFC BDED
AAGB ACCB
FDCF DFFB
GBFE BEGD
FEBA DCFG
BAFC DEDE
FCDE BEEE
DFEG GFBF
DBCC FDEC
CABE BCCE
CEEC FEDA
ADDB CDGF
ACAA GCGA
BAEF GGGE
CDCC ACBG
EFBG CBAD
GCFG CGEC
DABG ECEE
CEGB GCEC
EGDF EGGA
BDAA DBFC
GFAD CACG
GGBA EFBE
EGGG FEDC
AECD CDAC
BEED BDDD
AEEG GDEG
FBEA EFDC
FCDG CBEF
ACBB DBCE
BBFA ADBB
CAFF EEEB
DBAG BGGG
EDGB AEFG
DGCD BCCC
FAEA EFDG
BGGD CABG
BDEC FEDC
EEDB DDAC
GEGA AAFE
BCFA DCAC
BGEE GGEA
DCEF AACA
CEEC AFGG
FBAG CDDC
ACAB ACCF
CAFE DEGE
DADA DABA
ABDB EGFG
BFBF BBBD
CDCB BGDD
EEAE AFGD
BGDF GEDC
EFGD AEBE
FEFC EDAB
CFDG DFDC
AFFA FCCB
GGDE EDBA
EDEF BEAD
ECEA EGAA
BDAC CBBG
BFAC ADCD
ABED CADD
DDCF CBAA
BFFD DCEA
GFGD ECGE
AFGG BEGB
FABB BDAF
FBAE BEDE
BAGB CFDB
CFGG AGDD
GBBF BBFG
ECDE GDAF
EACF CCDE
EGED CFAD
DAFA BEFC
FDFE DBCF
GCGC GDGD
AEAF BGDC
BGBF EDGD
EFEC BAAD
GCFD FDBD
DDFG BCEC
ABCA FAGF
GBGA AGEA
FGAE DFEF
FAGB CABA
BCDE GFDE
CFFB FGCF
ACAB CCEB
CEEE BGAD
FDFC DEDA
ADFA CDFE
CAAG GBGF
ECGA AFFC
AAAA DFEG
AGEB EGGC
GEFG CADA
GCFA AAFC
AEGB DCDG
GAGA CFAA
CDFG EGEG
GCFF DBFF
FEAD FFAF
AFAE BGAE
EDGE AEFF
AEFD EGBG
EDAE BADA
AADA EBEF
DCGB AACC
GCAA DEEE
AABF ACDE
DGBG BDCB
EGBD EGBG
ACAA EECG
BDGG BDGB
BAEE CGEF
FGAC GGDE
BCBE GADE
BAAB AEGE
ADAA EBFD
AEEF BEGF
EGBD GEBB
AFFD CDFE
DAED ACAB
ECEC DGCF
BAFF DGFE
FFAF EGGE
BCGD EAFD
EEED GDDD
EFCF CFCD
AAAD EABF
DBDA FCGD
DBBE GFFA
EDDC DDFB
CBAF FABD
CABB EBFB
EFFC GEBB
DDFG EEGF
FEDF BGBD
EDGC GBEF
CCGB FGAA
BCAE FAEG
DCBF BDGE
BBCB CGAE
GBAA FABG
FABA GGBF
GDFF EGGA
CBEF DCGA
ACAG EGBD
FGEB FFAA
BGBF FFDE
CDCD DDGE
ACEC FGBE
DAEC BGAF
CFCA EEFE
GBEG AEDA
FFAA CAGB
CEFB GFFD
CGGE ADDC
DDDG GDGD
DCCA EDCE
BGEC FCDD
EFEC DEDD
CBAD BBEE
EAAG DDBG
DDCA BGBC
CDDB BCCA
BABA BGFE
AFEG FCDD
DGAA AGBD
GCDC ACDG
ACEA DGAB
FDGC EBGE
DCEA DCDG
GDGG DCDF
GCFC GCEG
GCDA DDAC
FBAB GBEA
BFGE BDDA
GAEG AECA
BBEB ACEF
GDAG ACCB
ACFG GDDD
EEEC AEEB
CAAE GGFF
AFEE BGFC
DDFD EADA
ACFC CCCA
FABC GGAA
FCAC CAGA
FGCF BFDA
GGEC EABD
CCAF FAAF
ECGA CBEB
GEDB EEDG
GBCF AGFD
ECCD CBDD
EAGF CGDB
CEAD BDCE
GGBD GEAG
EGDF FABF
CCCB EACD
FCGG FDGB
CECG GECE
BADB AGGA
ADEA GCGB
GDFG DEED
DDBC GECE
DEDC AACF
CBBA DCDE
CAFC CACG
AEGB AEAA
AEFA GFGG
EFCF ABCF
BEFC CDCC
EBDF ADBG
CAFF EACE
CBCC DFGD
BFAB DFCB
CBBG BGAD
FECE GEAE
DEGB EFEB
BBAA ECCB
FGDD AFDD
FBAC DAFA
EFCE BDCA
DDDA ACBC
DFAC BGCE
AFCD CFCA
DFDF AEEE
BEDF CACG
FBAD GCAB
BDCC BCEG
ABBB DDFA
DAFE FBGB
BGEG AGGC
FFEG EEFG
EDCA CFEF
DECF FCAA
GFDF BDBG
GAFB DADD
BCBE DGCF
FBAF BDGB
CCEE EDCA
ECBE ABDB
AGDB CEDE
CBFE DGGF
CACG FDBE
BCCA CCEC
EAEB AFBE
ABBE CFCC
DGBG BECD
AEFD DGBE
GCBE GDFA
GGGG BCAA
FCCD EFAA
EBGF DBDB
FBBF FCFC
DCAF EBFF
BGAE GADE
GDDG BDAC
DFFE AEDD
EABD FEAE
CEFB FBAG
ECFG FAEA
FBGB GGDC
BBBE EGAB
DCDB CBDC
EBDA BEBD
DGGE DACD
EBDC BBBF
FAAG BCGG
FFCC CCAF
DADF CFFE
ECAC CEAF
BAGD EBCE
BFEG AEBF
ACCB GBEE
GEDD GEFD
CBGF GECE
CEGB GGDG
DFEG EEBC
AADD FBDC
BCAG ABBB
DFBG BECG
FEGF FFFE
AFEC BFCC
DBGA AACA
FGGA CFAE
DEBA CCAE
FAAA EEEC
FFAE BFBG
DAEB GFBD
EBBF EDDD
AFBB GAAF
BCAB GDFG
GCCD GBDB
EBBA BDCA
DGBG EDFA
CBAF AGBD
GAEE DCEE
GGED CAEE
EEFG BGBC
BCGC DCGF
BDCC CCAD
AEGA DEAE
FGFB EBGA
GECC CCGG
GBFB FDEE
FABC BFDF
DAFA EGDE
CBCG EAAB
CEDG DGCD
FFEB FGFE
ACFC AAEA
GDCB GAEA
AGDD DAGB
GEBD CDBD
GFBD DCAF
CCCC BBCE
GEGB BEAC
DAGB BBBB
EAEB FDAA
FDFB GCEE
BFCC BADF
EDAA FDGC
ADED DBAA
AFCF FCCG
DECA GGDD
DBEE EECE
DDEG EGFA
AABF EFBG
DGFG EBGG
BACE DDBC
CBBD EACE
CDAB FEDE
CACG DGDF
GEAE GADC
GDBD FFDA
FCAA GBCG
EACC FBEA
ECCA GAAA
AAGG ADBA
BDAF DGEG
FGCE ECCE
BFBE FECC
DBDC GEGF
GCEE DGEC
GFBC FGED
ABGA FEDF
DGGA CAEB
BCCF FGGB
FBCG FCDC
GBGC FDGF
ECAC FDDE
CCCD ABDF
BBCD ADDC
DDBA CAAD
BFGE DEDB
DCFE BGDE
GFFF AGAE
DCCC AGBE
GGEC DFAD
BFAD DGBG
CADE BAGE
AAAA DBDE
FAAE ECDG
DBCE CEDB
ADFC DECC
AEGC GDCF
AFGA DDCD
BBCF FEDE
FGAB EEGB
CEDA ADDC
EDFG GFCB
BDCB EAAB
GFBB DGGE
FFAB GGED
CBAC ADBE
GEBB ECCE
GABF BEFA
CDGG GABE
FGEC FEGF
CCGE ECEG
BEED FGAE
EFGA CDGB
GCBF EBDG
GBBG EFAE
CCFG GBAG
FEGB DGFE
GBBD BFFD
ADAF CABE
FCBF CACD
CFDE ABCD
AGAA EGFA
AEBF GBDD
AEGB GFBG
AFDD CGFA
GEAF BEFA
BGBF EGGE
BADC CBAB
BEEC DGCG
