FBDBFADAAD EEEDFAGGBE
CECCGBEDGE CCFCFFGAEA
CECBFGBDAG ECFGGDCGBD
BDAGCGBDCB GEFBBFFDBD
FAFBAGADEG BAAFBEDGBB
FAFEGFGACC ECFFDFBEDF
GAFBGCEEEC DFEAAEEEBA
CFEDDEBBGA CCDDFFGCFF
EEFBDEABBG GGDDDEBAEA
EGFECAEEAG GDDCEFEEAF
EDFEBGDFEA BABCCGADGG
BEEBGDDFBA DEBEDCFFBF
EBGCCBGAFA FDCGADFGCD
ECGAFDEDDF ABGFFFEFDG
FGDCCEAEFC AAEGEBGFAF
AACGCDDBBD CACBEDAAAE
FBCDDAFBBA CFCEFFEAFG
GBBFACGACG GDCEAGBDFD
BFBCEGBBAE CCDFCEFCBB
ACDBADADBG BBCBDDBEDA
GBGGEGFFGC EGFFFDGBBA
GFBCCGDABC DCBADDGECG
AGGBFDDEFE AEBBGFBEAG
ABBEFBAEEB BGGEFAEGCC
CFDABBBGDF GGGDDGEFAF
BCECDCGAGA DBGEABAAGA
ECDBGCCAED FCEFDGGGBG
DFCBDGDFAA EBEDAAAAGG
CAEBBBDEAD AEBFCAAAAE
GFGEFEEADG CEAEGECECB
BBDCCAGDFD FCFBGFBGBF
ACFEDFABAE GFFBAEBDFF
CFBDADBBEC CDEADFFBEG
GCADCCFADA CCEAGFGFGA
ACABBACBAF BBDEBCEEGD
AEFBACFBDD DECAEFGADD
EDFGAFCFGE CBGBGGBACB
AAGFADGCDC CBFEBDAGEA
FEBDCECBDG FEAFGCBFGE
BEBBEFCGGF CADEGFGDFD
GCEAAAGCDG DCEBCACBGE
BCEEACEEFG AADAGEFBGB
CEGEEBCFBD GGDGCBGEDB
CFAFFCAEAD DCCABBDFDC
CGGEGCABBD GEGGBFBGFD
GAEGCAACFG GFDDAFBGAE
DDFCFFBAEF BGCDFBGDEE
BCCEEBAEEG CDDGDBCEEA
EAECAEEDDA BBCAFDDFFG
BABDDCABCC CEACGABGAG
CDBGECFCGA EEFGGAEFDD
AFEGBAGABD CFFABAGFGA
FBGDDDACDC GABEGBEDDA
FFADACBFAD GAEFFGGBAA
AECEDFAAGE DEBFABFCDE
DFCABEABBE CFFFGAEAFD
GDDGCGCCEC GEBFDEDDBF
ADAGFGBFGD DDEADDGAFC
CEFDBACCEC BDECFDDAAC
BACEAAEBAE CGFBGGEAGF
GFGGBCFDBD FFDBGBFBDD
FACGDBDCAC EDFFGCBAFE
CACFEAEBGC FBBFCGAFEC
FBFCEFDDBD EABGDDEBBE
ADBDEADEDE FFGABABAGA
GFDAGDBFDF CDBBCADAGA
DCAFCFGEFB AGDFGGFEDB
GCFDDCEFAA CBGCFCCCFC
BFGFCFAAFA DBBBEFBGDE
AFFDCFEDEB DBFDEDBBFC
GFBGCBEGCF AEEFFEGAEB
CGDDCEBBEF EDBEBGDCFG
FGEEBFBDED FEGGGDFDCC
FDAEFFFDCG BADDBGFFCC
DCEDBGEGAF GFBAADADBG
DBBGBGAFEE GBAFDBFCAF
GDGBCEGAFA ADGGCEBFCC
CCGDCBCGGE CGCAFCDBCD
BAACBCGGAF ACCCDAFADF
EGADDGEFDG AAACAAADEC
CFFDBGAFFC FABGDFFGCE
FGFAFGCBBA DEEFFCEDCG
GDCFDDEFFG GAFGGBGCFF
GDGBBFFACA FEGCDCGFDB
