GFGDBABBGE AEDBBFCBCF
DBBCDAGFEB FDEGGDGFBG
DCFFFGAGCC BFDDCFEAGC
FCGACAAGAE BGFCBEBDCB
AGEFBDFCCF AEADFBCAAA
GAFBEEEEDB FDEEFBGEBE
BAGGCBBFED FGAAGBDCBC
EBFGCFDDFB DDFBAEGBCE
DEFFACBADE FDECEBFDGD
FDDDEGACFC BGFABCDEED
BGCECGGCBD CBFGGDDEGE
ADCACFGBCA GGEBBGBGEC
FBCCFBCAGE ACAGDGBDDD
CEACAGFBDC FFFDFGGGDC
BDCCCCDDAA GGDDFDDGBF
GGAEBDCAEF CBGDCAFECD
BGBFCFDAEE ADDBEGGGFD
FDGBABFFAB ECGGCBDCFG
GEDBAEBBBG AGFCGAFFCC
GACGEFFEDA DBDBCDFAGC
FBBEECBDDF EFBGADDBCC
DDFGEBDFBE DBGCGGEACA
GDGBGGCFFA GFDFGFEEBB
CFCDEFAGFF BBBDDEBBDF
ADDAFBBFBB FEDGGAAEAA
ABBAFCAGDF ECBGDBGEDC
ACEECGFECE EEACGGFCEB
BCFCEDCFED GEEFFAGGGF
AADAEFFCAF FBFFFCEADE
CDFDEGADDG BBGEBCFDGA
BAGBEDEDAD FCDCAEAFDD
EDGAGEBDCD DCCCBDCGBE
FGBDBGBEGD ACFAGFBDGA
EGEBFCCEGB FCEFAACCFD
BGEEADFAED GFGFFGAFBD
FAGDGDAEGB ACDBBAEAAB
CCFGFFBDFG AGCCCAFCDG
EAFGFGFAGD ABCGGGBBAE
ECCGFDGCBA EFEEGFGFAG
DEGFBCGEBA BEEBBCEBDE
CDBDFGCEBA FGEGGDFEFD
FCDCCEDDCA CDFBFDDBEA
GFCACCDDEB AFCAEFDEAB
EFFECBCCDC FBEAAFCEBD
EDBBEFFCDD DAGDBAEDEE
BCDCCFDGBE BFDACAGBEC
FECBAGGFEB GACCCDEGFA
GEFAEBCFCC CFACDCBBEF
BFAEABAAGC GEDGFFEDAA
EDAACGBEGA GAFCCEFABF
DDDDFFGDFC EFFCAABBAB
DAGFEDEAAF DCGGFACGBE
BABFEAEAEB CBAGDCBFEB
AEFDFBEBDC DEBFCGAFBE
EDFDFGDEDA FDAGFGECEF
GGDAGGGBDB DFDEGEBCAB
ECDDCADDDD FAABBGDECD
BEGFEGGCBA DBAAAACCFD
FEGCBAGFEA BFGBBFGEDD
FEBCBBGDAG AGDFEGFGGF
BBDCBFDCBA DFABBADCCD
DDDEFBBDBC CCECAEDAAG
EEFCEFFFCG DGAGCEEFEC
ABAFBGBCEC CAGDCCBGCF
BBGGGEFABG AEEGGECEAA
DAGGEDFAFF FDAEEBDFCA
FDGGGEGADA AACFCDFAEC
DGGBGDGBFF BEDECBDBFB
DDCCGACDFD EEBGEGGEDC
FCCGCDGBDG GFBFAEGABE
CGBEDBFAEB DGCEEFFDEF
AGGDGFEAGF FDGFBCDAAG
CBAGAGAEDF BCDFBFFCGG
ECCEABBAGB EEECBDCGGG
BBEADEFADB EAGEBCECCC
BGBAAGAEED BBDDAEEFFE
EDGEEBGDGF BGCEBBFGFD
FFDEDAGBGA GCCGBGFGFE
DDDAAGBEFA DBEAGCDBGF
DAGCFDFADF DBBAFAGBEC
DCFFECEGAA FBBCCFAGBD
DAGCFFBCEF BCCCDCCEAG
ADBBCAABDA DDCDGBBAGB
BCGBCBGCCD GBCDEFACGC
DGDECEGGFE CACCBEDAFF
FGGABGECBE EBCFAEFBBB
CFEDDBFECB DBEBECGCCF
ECECBEFEBD FFGDCEEFAA
BFBBEECFBB ABGFBDACFD
DAAAEEBGDD EFBEECBFAA
FAEEFDDAFE FAGFEACEFE
GBBCDCGFAA AGAFFAGEGE
GCDEDGEGEA GEGAABGEDE
BDEGDADEFF CGBCEBACEA
BCCDAEEBEE GBCFGDGFEE
EABAEDFBGG EDGECFAAEB
GEDDFCEBGE GEDADFAAGC
EDEEFFGBFF DAGABCGGDC
BEBBAFCFAE FDDEGCDACG
CFGFFAEEDF DBBEBEACDD
CAEAGACDAB CGAAFEDGGC
DCCGDBEDAC GADDCDEEFD
DAEDDACCAE CFCCBGCDFC
EEAEECFCFG FGBEBGEFBA
FBCFCGGADG GBAEAGACAA
AACECBBAAF EGCBFCBBCG
AAADGEEFFB CEFBCBGAEC
FGDGDGGCAD GDGEGDGFAA
AFBCFGGAAE CAEEFDFCFE
CBFFEEFGEC BCBBBGEEAC
BDGFDCDFCC EBGBCBABBE
FCECGBDFBC EDEACCDCCF
AEGCECBGEE BBAAGBGGAC
DBAEGBGDCF BBFCGEGGAF
DFCDEGDFBF BFFBEGBDEC
AADBCCAFFB EACCDAFCCC
DGCEGEDFAC GAGFCGDBCC
AGEFBAABAG DDEECCCGGF
GGBCCAFEAE CBBGGGDEED
GEGCDFDEFC EFGACCBEEC
EDCCEFBGGA DAACADAEFE
EBDBFGCDEB BFDCEEBCCG
EADFBGEFFE GFGFEDBEEA
DEBFBEDDCE DFBDACFGGA
EEEDBAFDBB DCBGCCBAGE
AADBCCAFGG CEAFABEGAA
GGEEFGAGAB AFBGDDEGBA
EBABBBDBDD BBDEBBBGCE
GAFDDBFGDG CGDFFAEBCA
GCBGBBCGAF GDDCGAAEEA
AGGFDCBBCA ADABCFCADA
FEFGECFCDG DAGEADABAG
FBADBABBAG AAFGGADEFB
DFAEDFFGFB GFDCAEACDG
GEGCBFGFDD FFCCADFBED
EDDEAEGABA GEDAFBFCEC
CBDFCGEEBE DCAEGAAAGE
FDFCBCBECE AEFGGCADAA
FFBDEEFAEC AGGFFBDCDG
ACEAFBBAEF DEBCCEGDEG
FCBBDAGCCF FEADAGGFDD
BGGFCAEBEF CCCGCGECEC
ABFEGCECFD DBBAEBCAAF
CBBEDBDBAB CBFDDCGGAA
ABBAGAEBBC EFBADDEDAG
ADGBAEDBAG BADBGDBGCA
AGCGEDCDFC GBGBBACEFF
FECGBGDGEF EFADCBCFFG
ADDFDEADEE GFFAGGFAAG
AEDBFBFAED ADFACGFECC
EAACGAECEA ECGDCBCDBC
DFDGCGABDA FBBCEFGGAE
CBDEEAEDCC BEEEABFAGF
GCFAFFFECB FFGGFGEBBA
ACCDEAFGCF EBFEGCEBDG
EDDDCDBAFA DFGEACCGGC
EDDGEAADEA CCADDCBBGF
GBDFFAEEFE AFDFEEFBBD
GDEAFBCECA BDDEGCGDGG
DFCFGBADGB GGBAFBGAGC
BAEEFGDBCA BECBDADEAE
AFAGFEFFCC GAGCEECEFF
FFDGBFCCDE FAFCBDBFCB
ACDAFDEGAA FCBFCACEDC
AGGDDFFDBC BFCFEGAFBB
FGEFCGBAAB EBAEBEEBCE
CFBDAACDEC ADFBFFCEEE
CCAFBDBGCF BEFDCAECEC
GGCBEEBGGG EFACCABBDD
GCADBEAGAA GFCGFBCAEA
BCAFFCFDCB AECFAACFDG
BGFFBDFBDF DGABCFGCGF
FFFEDGFCBB BFDCEFEDFG
CCDABGGBBC CGABCFDFFA
EDGGGGFACB EBBFFGFEFF
EGCEAECCEC CDCEGEEDDD
AGADAFGFGA EFACBBGFEC
BEFCGBFEBG EFDBFABABF
GDACEFEEBA DDABAGBFBB
EFAEAFDCFG BDGGDGEEBG
FFEBBCBDFE DCBAABDCGD
FCBFECGBBG BGFFAEADCD
EDFBFBGACG GBABGFADAG
ABCFDCGBDD FBFDGCCGDF
GGAADEBFFB DFGCCDDDEB
BBCBABDADA AGACGEGECF
FCFAFDGFDG BGDADEGAGF
BBDGCEAADB FABDBBBDCC
CABGCGFAGG EEECFBFEAB
DDBGDEEACE GDAEEEAECB
ABACGCFCFD GAEBBEGAFA
GGFBGADACG GFBFCGEFGF
BFCEDEAGDA FEGBFGBAED
BAFFBDGCDG DDEEECDGBE
DBBGCCCEEA AEABFEBFAF
DBADABFFBF GFECFEFDAD
GFEBFFBFAF GBBBFEDDFF
GEEBFFDDEB CBAGGCAFCA
DGAEAEDAFF EBGAFECFBE
CECDGEDAAE BGEEBDEGGA
EFGCGADEFA ACAGDCGDEC
DBGGCCADFB EGGGEEAGFA
ABBACBBEBG FBEBGEDFCE
ABBDBEACBA FBDGEFFBCE
ECEEFBAEFA GDFDADGBCB
EAFABCDGGB GEGCEABDBG
FBGBFABFBB GCFBBBADBC
GAGDDDDCDD BDEBAADDGD
GFACFBEBDG AEDCBCEBAA
DDCFBDADGA EFDFCGBFEA
CCABBAGEAE ADACEAECGB
FBCACCDBFG CBFEBDCAFD
GAFDAEEAGF BAFEADDBFB
BCFBDDEDAD AFBADDCEGC
CDEDBGDEEB FCFAGBAGCE
FBGDGDCEAG EFFDGGEAGB
AAFCDFBEDG AACDFEADGA
CABFBGAGGG DBDFAFBGFF
AFDBECGGBA GGCEEACGFE
AFAEGBEGDC GABGFEBEFB
DGGEABACAA CFGFCFEBAA
BABDEADAEG AFAAACDEFG
BGBCBECCBD BGBGEACBCC
GGBBFGFEBC CGBAEBAEFC
DEDDEFBGEB GCAFGCBGDD
BCBFGGBGDE CDCGFFFFBA
EGGECGDCEE EFFDGDEFGA
FGBGCGEAGE BBFEFCCEAG
DCACCAEBDA AEAGECCCCD
CEAACEGEEA BDDFCGBAEG
FFAGCEDDAA FFAFADGCCB
DBBCFBDCEC CCFCFEGADF
BFBEAAEACC EGGBAEACDC
FFBAAADCDD AGFGCEDABG
CAABAGEGBD DDAAFGCCBD
FFCAGEGBCD CGEECFAFEF
GBGADAEFBB AGGCDBBCGD
GDEGCGEDGD FGEADACDEB
GAFDCGDDFF ECGCDGGABD
BEBBAGGACD FFGBAEDEDF
ACBEGFFCDF DAGCBECFAF
FEDCAEBFBE GGFECFDGCA
EBFBEAGFAE BDECGEECGD
BGDCBDGDFF GECGGEFECB
DAFCEFGFAD AEBAECGFDD
FBDEEGECFA FGGFDGBEFF
FFAFBFEBAB FDEGEGEEGA
DBBGBFEFEB FEDABBEDAC
DFFEBDCCGA EFFEDBACFC
CAEFDGFBCC FFADGFFEEF
ECEDECAAFC GFEFBBGAEE
GCCACDDBFG DBCFFEECAF
AFADGDCDGF CAEGCGFCED
AGAGDAEFCG BEFGCCEDCF
GDBBAAEEGB EFACFDAGFE
AEACBEFBBF FBDACDBEFA
DCGFCEDBED FABGBCDBBE
FEDEDFAGEC EGDBCACDEA
ACECDGECFE ADCBCBDCDE
FDCGBBFDCC DBFGAEDCBA
CCDGBAGAGA FEBBBBCFDC
DEFDDCFGAB DEAAGGEECA
BGDGAFGDEC CBEAAACDBD
ACCCAADEAE BDGAFCGDDF
EDBBAGDGAC BDGBBDCDCG
FGEEGGEAEC FAGGEACEGA
FDGAEFBFAF ACEBAGCDEF
GDFGCFDEDB GFFABGCEDB
EAFBGGEDGG ECEGADBAFC
