FDBGDCCGBF CBFACBECDA
CAGDDABDBC ADFDCFFCAD
AEAEDDACGF FECCFBAFEG
FCDEGFBCCD GBBGBCBGGB
AFGAGFFABC FBFFCBFCDA
GDDBEGECGF EAGBCBGBDE
AACCEGAGDB GDFFGDDBFD
GBGAGDCCEG BCCCAFDCAF
FGECEDEFDB GACDADBAAD
DAAFBBBCAA BEEEDBCFGE
FEFBFEECCE EEFFCEGGFF
EGCGAGBDGF DFGBDCDFDB
ECADBDACEE DEEEFBCFCG
EFDFBCBDCE EDABDGEABE
FAFFGEGAAD AGDDGFCAAB
GGEBAAEBAF GFBDFCDCGB
CDFECGDDBD FDADAFCFDD
CFDABCCAGF AFGBBDGGCC
CDABBBEFEF FCCBAFFFFD
CFEBBBBGDC FFDEGDEDBF
BEAEACGECB CCDCBGDAAE
ABBBDBEGFE BABGEBFBFE
DDAEACEGAC CAGABAEGEB
AGECBFAGEF GBDBDEEADA
GGCBBCACFE ACADFGDBEE
CCFFADDCBB DCDEGFBBFF
EDFDGCDADD GCAADEAABA
GBDDFEDABD FFDBCFEAEA
CEFEABGDCG DBGDABFDCE
BBEBGCEFEG BFECEFGAEG
CAAECFAAGA ADDEEEDFAC
CDEGFBFGAG BBDACFAEAA
ACDEBBECDG FDEFAGDACD
GGCGGAGBDA FBFDGDBDCA
FFCECGEBDA BAEEEAECEE
FABFEFABEB DFEBACBFBD
DDCAAGBAEA CCFGABECCF
FBFFFDBBED BGGDDEDDBA
AGEFCABGFE FFFBDDEAGG
AAEGBDADCG AADEBFEEBA
CAEEDCCBGG DGDBAGDDAF
DECGCABBCF ABBCCDCEDE
CFBADDBFGE GFFGGCFAAD
GGEDCEBFBC DBFFDABDAF
FBCDGDGCEB BCABABEEGE
EBBFCGGEFF CFEAACFDFF
DEGCCEBGAC DECECEFGEB
FBDFACEAAE EABGFAGEGF
GEBEBDAAAE FFFDFEBCGE
BEBBCCFFFF CBDEFGCCEF
FABAFGGCGD DEDDDGEGDB
FGFBFBDCCD FDEEACCBDB
EBGEDABFAA DGEGEBGDAF
FBFEBFECBG ABFCEGADDA
GBBDDDBABA DDFEAABADB
EECDEDFEEC ADBDEDDEGE
FDACBCCEFC ADCFFEEEAG
DEGAFADDCE BEFCEGGCAE
FFFBDBEAEF CDBDCEAGEE
DEDAGGCGED FFFABEBBBC
DBBBGAAEGC BECGEGGFAD
FGEEDCAADD FGCBFCGABG
BGBCFCCDAF DCBCDGBGCG
CEACFAAFFE DCDFAGGCGE
AGFCAEEFDC BBECFDBCGF
CDGDFABEBF DADGDCDBDE
AAEGCBECCA ADFCACEGGA
FEDAGFEACD FBDBDFDFCE
BFBEABFGDA BFEDEBBDFG
ECDCABAAFG CCCFCFGADC
AEAFFCEEFA GGGDCDEDGE
FADEAFFFAE DDBABEDDCE
CAEDEEABFA GCABCCEEEE
EFACFEGFDE GDGAABBFDD
FCACABAGGC GEDBFBGFGC
ABCEFAGDAD GEFBECEDCE
ECCGGDFBBF CBBCFACACA
BGDDEBGECG EAFBDCABCE
DDDFCECCDE BEEABCCBBE
EBDGEBAAFG AFGFBCBBFE
CBDBDDDEED EEEFEEBCFA
FGBAACDFCE BCCGDAGDEE
BEDDCGEBEB EDGCGAEEGA
AGEFFECEDF GFCCGCFDFA
AECBGEDGCB BADGFFFCAC
ACFEAGADDB FBCFFCEEAF
CDDDFCGDAA AEBBGDGGEE
ECCAABGCDD DEACADBAAB
BFBCEEFEGE BABBEGFABB
EACFAFEGAB GFCCAFGEFF
FDCEACGBCG CGAGBBCEGG
CGEDBGCCBB GBGECFEDCF
EEEFCDDAGD DEAAGEGFFD
AGCDBCDFBD EDFCFGBDGB
BDDEBEEAEG AAFGBGFBBC
DGBDDCCFBC EEABECGBCG
DGEFDBGBFD EFGBFGBBDF
EBBDACCFEC DACEFDFCAF
GGGFBFDEGE EAGFDBDAFG
ABCGGGBBAA AEFGDFEDBE
EDGDFFCCFD BDGECFACGG
ECEBFECAFG CDGAGFDBAA
EFBACBGCBB ADDEGGCCBA
GDCAFEEDFB CFEDDBFFCE
DGGBADGFAF GAGBFFEGAG
DGBECBDEFF CDDCAABGEB
DBADBFABEE FAACCCBBGF
GBBCDDCGBB EADEFDCDBE
EFCGDEBECF CADGEBECAB
CEBACEEBEA EBGFCDBBDA
AAAFFCBACC ADCEBEGACA
BAADEFFBGF EAFBGADBBE
CBBAGEBCAF GAAFGGGACB
EAGDDCGBDF FADEFBEBCG
CDFGABDDBC CCAGCADECC
FGCAFGFDBA FEFEAADBBC
DBGEBACBFB GEGCBFBBCF
EFGFGFGFCC BEFGGAADFF
GFAGDFCGCF BAGCDBAFFD
DGGGDFDGBD BCACGFDCEE
GGECAGECDA EFDCGCECEB
GEDDFEAFEC DBGDDDDGEF
BECCEAAECE FDFEBCDDCA
ACGEDFGCAE GCDEBAGDBG
EDEBFGFDFB GBFGCECAAF
EBFADDAAFD DAEFDAGGGA
AGGDFCCCGD DCABFACFAB
DCFAGECGBG FBABAEECGD
BDEDBABAGA ECCDGFADEE
EEFFGBACCF CAGFBDGCGG
FAGGGFFCBB BBEEADDBCB
FFDCCCDGBG EGFBAGDFGB
DGFEACGGGF GDBFEAFGEE
DEGEGCBECG FFFCADEADB
ACFDECAFFG FFFFCDCGDB
GFAFGDEBFF DBECEGAEEB
FBDFCABCBD BGBABGGACG
ABCFABDGED AFDGBGAFEC
EAGGBGEGAC CFBFFECGCA
BABGCEDFDB EFFEABEFAE
DEDAFFADAA DBDEEGGACC
BAGGBGDDAG BFAADECGGF
BFGADEEDCE CEDBAACACA
GCCFABGAAG EBCDCADAFB
CABCABDABA AEGDDAEGEA
