BGFD BAAD
BFEF BDFD
DDFA CGGA
FBDB DCDE
CAEE FCCB
GFEA GCEF
EDAF ABAG
CCDD GDAB
GGAG BCCG
AFAC EFDG
EEBE BFAC
BFDC CCED
AEDG BAFD
FCEB DDEG
FAFA FEBC
GCAF BDEF
FAEF EFBA
DEGE GGEG
FAAA GEEG
BBBA AEAE
CGEE CEDD
CGCC BDDA
FEEC ACFA
DGCF CAAE
EGBB GBAE
AADG ACBE
EBBD FDFB
EBAC EGGF
ECAE BDGB
DCEG GFAG
ACEB AEGB
CDBE EDGF
FFEA GGDD
CFCG FGDC
DFAF GDGD
DDEC GGAD
DAAA BDDD
BEED FBBD
FBBB DFCA
GCCF DCDG
FABA EAEG
EGCB DECD
GCGD BEDB
BAEB AGFG
AGAF FFFF
GFBG CBEE
EDBD AAEF
GEEE EAED
AECD FGBA
GDAD CEGC
FDCF BFGB
FAEA ADEF
GBAG AAFG
CAAA ECEB
FCEF DEGA
AFGB CEEB
BGAC AGEB
DDDD ABAB
BFBD DGEF
DCFF DBFB
EDAC GDDG
BAGC CAEG
FFDB FCEA
DGDE GABF
AFCC EEAF
FGDC FGCF
EADC BGAC
GBBC CADF
BBDD CGAA
BAAA BFBG
FAFF EEFA
FBBE CBGD
DBGE EBAF
GGCG ABGB
CGCA CACE
GCEE BFCA
FDGD DDBA
DEEF ADBD
ABGC AAFB
GCBG CECG
BGFB BDDF
FEDG GEAG
BEDF BGAF
BAEB BBDF
BFCB DGDF
BFDG BCFA
BCBG BDAF
BCGG ABEA
FFBC EADE
ECEE GADD
DBDE AAAA
EGFB BBEC
FBDG CCGA
EFAC CAAF
GFAD FGAC
BGDB GDAE
AAAG DFDB
BDEC DDFE
ECAF CDFF
EDEG FDBA
FDBA CCAG
GGCA DBFG
CCDE GGFE
DGBC ECCG
BFFF BBAB
FBBF GCDD
GFEC DFAD
EDDE ABDA
GFAE DGBD
DDAA BGEG
FAFC CCGF
ADAD FGCD
CFCE EFCG
EECG EGCD
EEAG ABGE
DGFF BFBB
GFFG CAGD
GBGA EGDF
DFCD BGCF
DAGC BAAF
EDDE EGFF
DGGG GCDD
DBBA ABCC
ACFB EDCF
ACED DDGF
GCGF EDGE
BFDA BFBB
FACG DFFD
ACBA GAGB
BFFC GCEF
ADAF EFBA
FACG ECEA
DAGF DEBC
BCCE FCCD
BCCB ABCD
FDEE EGFE
GBFE DDCE
BCDA FFAC
GGAF GFEA
BBDD BDDA
CCFE BFGE
EAFD BCCF
EFCD DFEA
BAAA DAFF
EAGG EEFG
ECDD DDGG
ABGB DEGC
CBFF CDEG
GGFD BCBD
ACFC CEBB
GCBA FCFD
AGBE DGAG
CGGE BAFG
BDAB DACG
GGGF ADFF
AFFD AFGC
CFDE FABG
EAGE GCFG
EDCD FEGD
AFAF GBBB
CAAA FCDF
CGAG ABFD
BBEF DBGB
FCCA EAEC
GAGB ADBA
ABCE FBDD
CEFE BGDD
BDEG CCDG
BDEA FGBC
BAEG DDDG
FBCD AEFG
BBGA BGCG
CGGC AECE
ECAD EGEA
CCDC ADCA
EDGA DGBE
EAEA FDED
EGAE FBFB
CAEA BDCB
CCCC AGBF
FCEB GEDF
BFEC AGDE
CCDA BCFG
EADG FAGC
FGFG ABBG
DEFB BCDF
EBAF CDBF
EEEA CFDG
ECAC BBGC
GBCB EBAE
EGGF FEBG
GFAD DEGB
EFBD FFBG
AEGF AABA
BABD CACG
AACB FFFD
AFEG BABA
CGGB GDDD
FBDB GCAF
FGFE FBDG
FFCE BFCG
BBCC AFBF
EBFA BFFG
EDGE FADD
GDDE ABAE
EDAC EGGC
GFFA DDBB
FACE BDAE
AECB CFBE
FFGB FEAF
ADCD DGDA
DCGC BDAF
DBDE GGCD
DCDB DDAG
CAFG CAGB
DBFC ECCG
EFBG BAFB
FGEA GCCE
CBBE GEDD
BCBF AFGD
FEDA FDDF
GFAA BFEA
BCCA AEDE
FCEA DGED
BFAB CDBB
AAGB CBGD
BEFD FBEE
AECE DDDD
DDAG CAEF
EAFD BGAD
EAFF AEBF
GBGE FCFF
GFFF CAED
CCAB FFAE
BBAD GGAB
EFCG FDFG
CEGD GGCA
CECD GCAB
FDFG CDDF
GGDD FFEG
GGFC FFCE
EECD DAED
GBGG DACD
FAGD GBBG
ABFG CDGC
BCAE CGDE
GFEA FDAD
BDGF DACC
ECDE CBFA
DDCB BBAC
GFCC FBEA
DCGB BBBD
BCGG BDBG
EECD FEDC
BBAC BDBD
ECBD DCCE
ABGC DGED
CBAA ECEC
EDDD FGDD
FDCC ADAA
AGAF ACAB
CEDF GADE
BFAE CFCE
FBBF GEEA
AACB CCBA
DDBD GCGC
DDDE DEEE
ACAA FGCA
AEDA AGBB
ACDC FGFA
CFAE CDFA
DFDD CFCE
GGDD ECGG
BEEE AECB
DEGB DFGA
ACCC DFFF
BBAD DDDA
GCCB DEEC
DCBF GBCA
BEAC CEGD
BDEC CAEF
FDEC ADFE
EDCE AAAA
GBGG CAFD
FDFB ADFB
DBDG GAFB
GFGB ACAF
BCEB DFFF
CFBD ECCE
GFED CGEG
GBDE EEDD
GBCF AEGF
FCCE CEGC
GEAF GBED
GCAB DABG
FGEE GBDG
DAFC DBGG
ADGB CECC
ACEB CGBD
AGFE ECCG
ABCB CFBE
AGAA AFEB
GFED GCDB
BDBF DDAC
DGGB ABDB
EGFC CEEF
FGBE FFCA
DBAB FFCF
FDBG CFCD
ABDB BBEA
CGDF CAGA
FDBG GFBB
AECC BGAC
BGEA GCBG
FCFD DBAF
CGFG DADB
EBBF AFAC
GACA GDGF
GEBE ECAE
BDFB EFGG
FFGB BFAF
ADGC BAFA
DCGG DDGD
BBCD BAFA
CEFF GDGE
ABCG ECED
GDFE FGBB
FDFF BBCB
DEAA BFAG
FCBG EFGA
EFAC ACBE
CBAE DCAA
FFBC GCED
DGFE AEGC
GGBF CGEE
EBCD FEEF
BDFF CECG
FEEB CBGB
AFFD BGFA
FDCF AEAD
AFAC BBAG
BAAE GAFF
GDGD GAGG
GBEA GEGA
FCBC FBAG
EAEB ACAD
BFFC ACDE
BAFE GADC
DBDF DFAG
FBCE CCGB
GEFE GEEC
BGCG DEAD
CCCF EEEC
BBAE GEBE
DECA EFFD
FDDA DDCE
FEGA CFGD
CEAF BEEB
EGAD EDGD
DEBD BCGE
ACEE FBEF
DAAE DCDF
EDAA AGFA
EDFG ACEB
ECAD EDFG
BEBB AFDF
EECF GFEB
GFFA EFBF
BDAG AEBA
AADA GABA
ABAF EADC
AGBB GAAA
ECEF FFAC
FFCA FFFF
BCFE DFCD
CGFB FFAC
FAFC FFEE
BFAG DDCA
CEDA AGAA
FGFE DEGD
FFFE BGFB
EEAG CFCD
CGCA BABF
CFAB DGEC
GAEA GDED
CEAB FCFA
DFGF DGAD
CCGF CBDE
GECE CFBC
DGED EEDA
EFEC CGEC
AGDD FEBG
DCFC EGGD
BBAF GEFF
BEED ABEB
FDCB GEEA
AGFC DFFF
EFEG GADG
CEEB FGGD
DDBA DDDG
FBFF DGBF
EDAG BCEC
BACF CGCA
BDDA EDGG
BAAD EECC
EGEG EDCB
GBDF AFAA
GFCC GGBB
EGDE FAGF
ECDB GDFB
EBDA AEAF
EFCA ABCB
FBDB BBDC
EAFE ADBC
DFBF EDDF
CEGE CDCC
ADAG CEBA
ACBC EBDD
EADC FCFA
DGGA BCBD
FABB CEFG
EBDB CBEC
BGDA FAAD
DDFA CDAD
FBCC ECFB
DDEE GDCE
GBGA ACAG
ECBC CCDF
AGDF DGBC
FGFB GEAD
AFDD BGDA
BBFG AGED
CCCE FCDD
BGDA AECA
FEEF FAEA
BEBG ECEC
DGDB FBFG
CBEA FDDE
DFCA EEFA
EFFG BDAC
AGDD EEAC
EFAD BBDG
AGFD BDAA
AGCD CECD
GEDF AGDA
BFGF DAGB
FCDG BCCG
AGGC EECA
DEBC ACAG
CEFE FEBD
DDGG FABG
BEAG BCAC
DEDE CEDA
ADDE GGAC
ADAG CFFF
DDBC AEGD
ACCE FACB
FCDA DECG
BGCA EBEG
BFCD FDAA
BDDE GGED
DDDB FACA
CCCD BABA
EEFD DACF
DECE GDEG
BEFD FCGB
GFGC DEAE
BAEB FBDG
EBFC FGFE
AECD AGFB
EFGB FFBC
FAFA AEAB
GEGF BGCF
EBGG FABF
GCDG CBEE
DDGE CEDA
CADE CECA
CECF CEDC
DEFE BGFD
EDED AFAA
AFEF CDEB
EDBB BAAD
DADF CECE
EAEF FAAG
DGDC GDGC
DDAB EAAG
CGFD CFEA
GFBC EEAB
FFDE GGEE
DEDA DACG
GBAG BGGF
FBEG BFCC
BAEC AGCA
GFDB DGBF
FGFE BFDE
AEAD BGBD
EADG FGEE
EBEB BEDD
EEFG FDDB
BDGE GGCC
EFEA EEFD
DBGC BABC
DACA FAFF
ADBE DBDB
DABC FEGC
BDAA BCDB
DECA DGBE
EEFG CFFF
BBEA ABDD
EFCC GADE
CACA DCBB
EGBD CACF
DEEB FDAD
BFCA FFDA
EBCG CEAB
CEAA AGEG
DDEC BFBD
EFDA GEDF
FFED BFFA
ACCG GGDB
CBEF CCBF
DFAF EECB
EDFE BEFA
DEDE FDEB
FEBF FCGE
GABA GBBF
FGGF CCGA
CCGB AGCA
EDBE GFFE
AFBD BBGE
ECDE CAGD
FABF FEAF
FGDA FAAC
GEGF AFEB
GBCG CAAF
FEFF BCFC
FAEB AFDE
GGGF FCEB
CABE GEFE
FDGA BDDE
DBGA DBED
EDCC EFDG
GFAB GBAG
DFGD ECDA
CFAE EFEG
DAAC BGFA
ABCG EFCC
GEEE ABGC
BFFB FCGG
CBBB GACC
BFDG CFBB
GGFA BDAC
EGEB DCGF
GGFE CFDC
ABDC GFGD
EDCA BAFG
DBCB CDDF
GEBG CBDC
BFBC DAGF
ECBC ADFE
ADFD DEBA
FFCA AAGC
ABDB EEFE
CCCA CFDF
CFBF BFEF
CCFF DAGG
BAEC FBCG
GCGA DFDG
BFCF EFDA
BCCG GCGB
EDDG GFDE
FFAB BEDA
BDAE DCBG
ADGD BAAB
FCAF DDDE
AEGC DCBB
CGCA DCEA
BFGG CECA
DDAG FFAE
FAEA FADC
BBAF EGDA
BABE EGEE
CGGF EGGF
DACB GBDB
BECA EGEF
AAEF DGEF
CCDF FBGC
AEDA GDFD
EECD GBAF
DADD EBCD
FBAE CBGG
DACF ADGA
BCGB CCBD
DDCG CEEA
EGEA FACC
ACBA CDAA
BBGF EBAD
ECEA GBEB
CAAE BCBF
EAGC ECBE
CFCE EEBE
AACB ECDD
FBAD CCBD
ACCA GCEA
DDAA BGCF
GCGE GDFB
FAFF CBEC
BEFD AEDB
BDFC CCCB
CFAE DGDA
FCAF FAGE
EDAE GDGD
CDFE CCED
EGGD FAAA
BAGD GAAE
FGGD EGBD
AABE FEBC
EBDE AAFB
FFEF ABBG
FCAD GFEA
GAEG EAAC
CCDE CCED
FGBA BCAF
EAEB EGBF
GGAG BAAD
DEEB EFCB
BFCC EBCA
CDGD EFGF
AGGE GFDD
DAGB EAAF
DCCE FGBB
EFDA GDGA
GCFF FECD
GBAF DBEG
CCEC BFCF
AAFC CDCE
DFFD FGEA
BBBC DFBC
FGAG DEGA
EGCA CEFE
DFEG BGEE
EBFA FCDB
CDCA CBAF
ECCF AGCG
FGAG EFDD
DBGE CGEC
CCDC FEAB
CCFE BDFF
CDCC GFFF
DCCE AAFB
CDBF DGED
CBBD CDDF
AFAC GFEC
FEEB EAAA
BFAF DCGC
CCFC FFBD
FCFD BDGB
CEFG CGAD
CABE EBEC
GAEF DEAF
BDDE ADAA
BADD CCEG
BEAG AFBD
CCEG CBGG
CADB FEGC
FBCC GFDE
BAEC GFCD
CCAE FEGF
DFAB GBDA
DFED FGFD
EBFG DACE
FDGA EDGA
FCEC FDCD
DABB EBAE
AAEE CBDA
DFDA EEEB
CGGC GDBA
ABEE AAEA
CEBA BBBD
BEFG AGDB
ABGD EGFF
FAAA BGAG
AFEC EBBF
GABC BADF
AFAC ABAF
FGDF BFBC
CCBC DAAD
CEEC EFAF
DAGC CFBF
BAGD GCDE
CDAD BAAD
EDCD EGFE
CCDC CDEG
GAFA DBCC
FACG DEEG
AFCA DDDC
CBEG GCAC
AFDB AEDC
ECAF GDBG
EAFD BEDC
BCGA DABF
GGBG EEFD
CBEE FGAA
BBGE FDEA
FBAF FEDC
GECD FBFA
BDFA EEDG
EFDC ECGB
GAEC GDAD
AADA AGAA
ADAD FFCC
GCDC FDDE
CDED AEFG
CFFB BGBB
DFDA ACFD
FEFF GAGG
EDEE GAGE
CBAE DDCB
