CAEFGFAG BGCFDEFG
ADBCECGA DADACCGC
EAFAEABB EBEFDBFA
BFBBABFB FDCGAFEG
CGDDCGAD DGDFBFCD
AADDDFAB EBFCEDFA
BGDDCCAG FDBBAGEE
FCFCCCEB DDDABFCA
EABDAAFE DAEAACDD
GGEEABEE ADGGBFBA
AGGAEAFD CEEEBDFB
DGEGEDCE BGGBDDEF
GACGABDA CCDCCCGA
CFFEBFAA EEAECEAE
GBBCDAEC CFBAADEC
ACCDDACF DCBGDAGD
AFCDGGAD CEABAFEE
FCAECADB BGFBAFFC
GBBDDEEC BAAFDEBB
AACGGBAF EFFBDEGE
BCGDAEFG DEDCGBCE
FFCDBCAG BGCEECDG
CBEGADEE CAGAEFEB
CAEFAFCA GDEBACCE
GGBDAFCF EDGACCDC
FBFGBGFA AEFAECBE
BGFCEDGA GEEEGACC
AEECGCFF CABCDCAC
CDGGCGBF CDFFAEBG
AABEAGBF CGDDADBA
GBDCFDBG DEBGDGAD
BGDGEAAF BGCAGDBE
DBCEFCGB ACCECFFC
AEFBBDCB GADEFGFF
GGFFBFGG DFEEGEBF
EGFCCDAE EDEDGDAE
BFBCCFCC FGFBCFFF
ABFDADCF DGBFEGEE
BADFEGGG EBGGFBBE
FBDFDBCD AFCEGGCF
EFECFCCD CDAGABFA
EADFADDA FGGGGECB
AABGFCEG AABDFBDG
DCDGFEDB EBGEGAAD
GCGCBGFC GGFAECFD
CBAADBAE CEFDEGBA
CAABGDEG ACECBDEG
FDBABCGC ACDCAAFA
ACCFGCAC DGEAEDAA
BABABCDA BEGCFDAC
GAFDAGBB AFABDFAC
AGFDFGFG CDECDGAB
EGBGDGFD DGEGEFCE
EAEFBGCD BFGEEBFB
EEADECAG GFADBEGD
FAEGEGED DDAFDCFA
AGGAEDFF CBFBBGEC
EBEEADEA CCFFDBGA
EBBEGEED CBAFFFBA
GFAAFGFA AAFEAGAC
BAAECDFB BDFDBAEA
GFAECEBC BAGFDDAA
EABGEDFA GAGCGAED
GEGGDEAG FFCBCGCC
FBADDFAA ADDCCFAG
BFACGDCE AABEFGGE
FABGFCDD DGFCDDCF
AFCEFBGB EFACAEGA
EBEGDBGC FBGDDAEB
GDDCDCDC FEEBGCBG
ADACGFGC GCFABDEA
EFFFFECF GBFFEGCD
BBFDCBGC BBAFFBCC
CEFACFCD DBCACAAE
FDBAGFEC FAGACGGG
AGDCDCCC CBBCDFBF
BGADGGFE EDDGBBBA
DDDDEECB DGBGFBFD
DECCBACB ABEBCDAF
CDAACDFG DCGDDFGA
EGGBFAFB AECGACBB
FEFGCCEC EFDDFGCA
DCBEEFGE GEBFECGA
GAGGGCDG ADCDABCC
GCDADFBE DCGEFDCG
FDGDDGGF ECFDACEF
ABDGBEGA BGEAAGGA
CFAEFGGC DBBBEADB
FADDBDFC AGBDDDCG
DGABADBA EGECGDGC
FBGBEABD BGDDBEBA
AGAFEDED AFCAGEEF
FEBCFCBG CEFCECFD
AEFGDCAE FCBBFBAD
FDCCBGCE FDBBGEGA
BCEEFAGC CECDDEFG
EABAEFGA EDFAABBB
AFDAAAGG ACEGFGBG
FAFCCBAE EAADABEE
BDBGDBEA EAEEGEBE
FCEAFDAD ABACFBDC
FFCBCAAE EEBABCDA
EDFFGCCE BCAECBED
GFDDGEEC FDADGBFF
EEAFAAAC ECCCGCBB
FEDFCDAG BDEAECBA
CFDFBGDC GAEBEDFC
DBCAEDEB CACAFEFB
CDFBGCDE CDEGACFD
FCEGEADE CGGBBFEE
GBCAGGEB FGCEBDGD
EBAAAGFE BDACFBEG
GCEBGFEB CFGGECBB
DEFFBFCD FDAAFBGC
BBAACDDB FGBBGGCD
ECGBDEEE GCFCADEF
GAGEAGBE DEEFBEFA
DEEEFAAA CDDDCGEB
AEAGCDGG CGBAFEBF
FFAADECG GEFGGAFD
AGDDAECD AFFDECDB
BAAGGABF AEEAFGAE
EDABGAFF BDAFGGDF
AGBEFFEF FDEGDCCF
EBEDDDFD DEFDCBEB
CCEDFAFD GAFDEFGC
FCGFEABE BBFAGBFA
DECGBEFE FDFFECFB
DFGBFFBE ACBGBBDB
FFCCBBDA AABCCEAB
EDFAAAAF BBCAFCEE
AGEAGACB FDEGGCAE
GFCAGAAD DFAFDCGF
FAEBCBAA BACFGAAB
BBCFAGDG EEEBBCEE
FGBBCFFE DFFFGFAB
GFBABDAC FCCCABFF
DBADABCF GFECFDFE
BGGCFEDD GFAFEAAA
GEADADEF FGAGBCAG
GDAEGADF EECBGGCA
GCCAFFAE FGECDBBE
DCFBDFCA CDAAGBAF
GEECCFAE BBCBFEFF
GGGDADEB CAGGFBBB
DDGGGGBC BECGEAAD
CBADFCDD EGEAEFBC
AEGDCGBE EFEAABGE
FGCDBAFB AFEEBDCA
EGGEBGBB CBEBGFDD
GBFDBAEB DBFGFEGF
DGDFAFFC FBFGGFEA
BGADGBCG GGBAGBEF
EEDDBCEE EADCFDAD
FGAABFDE GDCAEDDF
DFECAGAA ECECBEGE
BBAFDCEA AGAFGDGG
FAGBGECB GGEGDEED
FCDGGGED BCDCGAFF
ECBGCDAC GGFAAAGA
ECCEFFGF CAEGBGAG
ADBFCBEB ABEACEFG
FGCDFGCC ACBGBDAA
DCGFEFGA CGFEDCBC
FECGBGGB BDGGBBGD
EAGECAAF FBGBABEE
GDCAFEAD BGCBCAAA
BGCFBFBC DEDBEAFE
EADFBDBG CBCEEDGB
DGCBADDD BFAACEBC
DFBGBBEB ABDDDBEE
GGACGDFD FAGAFDBA
AFGAGCGF FBCGGECG
FFCGCECG CCAFDCGB
FBACDFGE CEEFECCE
EFCGFGFB FGCDEAAB
CCGDFFFA DDFDBFEB
DCEBGAED BCEBCBFD
EEGGFCEB FBGFBGGF
FDBGEDBC CGBCBGBB
AFDABABD FEADAEAB
CCEGBDBA GCEFCEAD
DEDGFEFF CEBFDDBC
FFCDBDCA GGGFFEEC
BCBGBDEF DGGAFGBB
DGDGBABD CGGFFEDA
GEAFBADB FAGBEAEG
FGDDFCDD EEGEDCFG
DGBBFCAC DCBBEEFF
BEEGCCAA DCCDABCF
BDBABCED DDBGAFBF
EEAGDDDE AGADADAG
FDGDGFEC FBCDAGAG
ECEFGBAG DAEDADEG
ECBFCCBB DAGFBAGB
DECFGCBA GAECGFEC
