BGDFAEDA CGFGFACF
GAFDDCDF EECDGCFF
ABCGGAGG ABCBDCGB
GBGBFGEA DEAACDEA
ABBCBCFA BGBDCCCA
CDFEDGDD CCACDBGF
ECDDFAEE EGEBCFBC
CDCEFAAE CBEEDACG
AFFDBAEE EGABACCA
ABGCFFAC GDFFEFGE
CDFCEBGG ADDFACFF
CGBEAFEF DGFGDFGA
GABDFAAF DCBBAEEF
AGBEFBAF EDGBBGAF
EFCCFGGA AAEGCFAE
EABGCEAG CAEEDBFF
GAAEEGBF GCBEDCEE
DAAACAAB GCGAGEED
AAFEDEEF DBABDGFE
GBFGECDE BGEDDFGC
CAFEFFFF FGADBEGF
EADAGAGG FFGECDEG
BBGFEGDA EGEEBCFC
FCEAGAAE GEEFDCBB
GCFBACCA CBCEFEDA
GADFEECC FDCBDBCA
DFFACADB FGEBBAGD
EADGACBA BGDBCACF
FFBFDAGA BDCBDBFG
ADGDGAFE FFCBCDDE
CGBFEDAF EGDGDABE
GACGCECD BAEFDEDE
BFFGCAFD AACBCCFC
ABDBGDGC EACCAGDD
CAAECABG BDFAFDDB
ADFAFFFD BDDECFDG
CBBAGEBA FEEFEFCA
FADBBCCG BEDGEDDG
AFDAEEGG DFBFDBGF
GAABFGBG EEFDEDCG
EDDDABBG DDEAABEG
GFAAADCB BFAFDBFC
BCCBGAEB EFBDDDCC
GEBABEEG DDFDABFE
ABGGBBCE AGCBFADB
EEGCGDDG DEFDFFBC
AGFBAFEA GEGADEAA
DACDEEEB DCBGGEGD
ABFDECGB CABAGDDB
ABDAACAA GFBBAGAB
AFEBGFCA EGDAAFGD
FCFDDGAA CDABFCEC
GBFEDBAB BBADGAFG
GGGBGBDG FBBDGBCA
AGDBAGBC ABEAAEGB
ABDAGGBG AFAGCDFG
CDFECBDB BGFGDDAF
GAECAEAF AAEAAADG
DEEDEBFE BCGEGDGF
GCGFFBFC GCBDCFCC
FDEEAEBB DDDFECBG
DBEGACFA AFDEGCDB
ADCGAGGE DAGFCEAD
CEBCGBCC ADBDCGAA
GFEEAAFF DGGFDBEG
EEAADBDB DEAGGABG
GAFEEBAG ADCFAFDA
BEEEACCA EBAABCAA
EEFAAEBD DFABBCEA
EAAACAAE EEDGDEGB
DBDEGEDE AADFBGGA
FBEFDCAC FBEGBAFD
DFDFFFFD BGGGGEBF
CEFDDCAD DCCECDBD
AFECCCDG ADCCGEFF
ECEDABAG CBEEEABB
BACEDDFD ABEABBDF
DGDGEBDE FEBCGGGE
EFFBAEEB CFBBECEB
CEEBDAAF DBCBDDBD
FCCDBAGD DAACBACD
ACGFFDEF BDDGDGAA
BBBGAACA FABCAABG
DCFDGBAB CEBDDDCF
FDEFFFBG FADFEEGE
FGEAADDG EBCEDFEE
DBFEFAAE AFFBBCEG
DFGBFABE BCEABADC
EFFGCCAC GCGABGDE
GDBEBAAB DDCCEBFC
ECDBEEEB EAGDCGBB
FFGAFDED EGFFEDBC
CEBCDBFB BBEGACED
BDEGADCG EGGBFFDC
AEGFABGD EGEGEAEA
AEBCDECD DBCBFCBF
EEGFFGCC BDGDECFB
DAABFBAA CAADBFGC
GCGGGDCA CBFAFGEG
GCDGGABA ABCCFFEE
BGFDFGFC FFABFFFA
EGECBDFA GDBEGDGD
EDFGDFBF ACFEGFCA
EDFECGGA EBEADCAF
GDFFFAGA ACBCAAEG
CEEEBAAE AGCBEDEA
GDCBCGGG AACGEGFG
BECBEGFG CCFBBFDG
EFBGEDAF FGAGEEEG
CGACEEFA AFBGGAEE
EAGCFFDD AEBFCFCD
AFBGFGEF EEBFEBBB
DABCFCEC ACCGFEBC
CACBBGEF EACBGFAE
FBGCAADB GFFCDDEG
ECFCADCD AGEGCGBG
ADEEDCCE GADEEDAF
DBEDCDBF DFGCFAFF
DBCAAFEC EGBAFFDC
CAGABEBE GBCGDECA
GEFACCFF EFBGEGEF
BFDCDACF AFGFFEGA
GFGCCAAG BBEFFDCF
BECEDFEC DDGBEAEA
DAGGBGEF BDDGDAGE
CECBDEDF FADBFDBE
GGGAAAGG ACDCGFGG
DECADBEC EDFDEDBF
GFAFEAAB EADBDBCB
FEEBFGGG FBGFGGAB
GCFGBGAC GEBGFEBF
CBFDEDBE FEAEAFDG
BCCEFECF GAGEEDAE
FFDCGEBD EAEFAGGB
GDDEFFGF DEBCDCFF
CABDBECG GBFCFBBD
CEEDAEDC CFDEDBED
CADADFFB DCFGCECG
EFEBFGFG ABEEDFFA
EFBFDGGD CFCFCBFD
GCBFACAA ADDBBGCG
GDFGFBAE GEBEFCCE
ACEBDCFE FAFDCGGG
DBDGEEFA BBBCFACF
EFDCAFAC ADADEDFC
GBBBDAEA ABACDCGG
GBCBCBGC CDGAECDD
FFFBBCDD EEFFABGC
ADDABGCF EBCCCDCA
GGCDEGDC DBBDAFAF
ABCAGDGC FDGEGFEA
BAFCFBGG ACADCFDD
AGCFDABA GGCBGABE
DAAFFDEA FDFGDACE
DADGEGAB AAGFGEGC
DAFBACEE FFAGDGGC
FGCABEBE FDGECAGG
DBCEFGGD CCFFBCGB
DEBFGCEG BDEBGADE
FAFDGCGD FEGECBDB
CADEAECF FBEBECAE
BDFBFEBC AFCACABA
FEGAFCFE BGFCADCF
BEFCFCAB DCFDFDEC
DBBCDCDA ACFCAFCF
AGCGFFGF DFFBFCFB
DGAGAFAC EFBEDDBF
BCCDGDCB CAEDEFDD
CDCDEECC AAFCEDDB
CBDEGGAG FFGCEDBA
AFGGEDAD EDBEBCDA
FFDGEFAB BFFAGABB
AEFCACGA FCGCFBEF
BDCEGCCG BBFCBEFE
FGCABDFG GEEAGDEG
FGAFECEG DDAFBEGC
GEEEADDF DGABCGBA
AEGBFGAF GCBCFBED
DEFAGFFB CEAABBGC
CACBAFAB CBAEFEBB
GDDFDFCC AFFGCGDG
EDEFAGDB FEDADAAB
EGFCGAAB EBDECCEE
CBGCBAGG GEDGBBCC
DEAGBBEB EDCDDCAE
ABGFCFFC FFDCDFEC
ECGGCBDC ADFBCFGG
BCCBAGGD CDEEGBCA
ABCCAEFC GAEEGBEE
FECFBGGA GBFBGCBB
CCBFEBGG DGADCECB
CCGFAFCC EGBBDEBF
FGBDDFCD DBAEDGCE
GBEDCGCC AEFBAGDE
GDGFCFBG FEFGGCFB
EGGBADAD BFBCBEGB
BBGECFFA BACCCDBF
FGEFAACG BBGCEGBG
CEBBFEDA AEDCCEGB
CEFBBAEC AGGCECBB
FCFDGGCG EDGBDBCB
DEAEBABB DGEGADDD
GEFBEFCC BCDGFBEE
BGGECDDF CDBBGEDG
GBDEGDFG BGGEFEBD
FFCFFCAE CDABCBCE
BGFEFEGE DDGFCBGG
BEFAACEF GGCGDDDG
ABEDCGGG EBGEBGFG
DEAGBABG GGGFDFEG
GCDBAFBB FDGFBGGD
CAGBDDEG FDEADGCA
GACEEGAG EBAEFFFE
DDCEGBAC FABGBAAE
EBCCAGDG EEGCEFDE
EDBACDDA DFFFEFBE
BEDDCECC AGFEAFFF
DDAEACBD DBFABCED
AAEGGGAC CCBGDDAC
AEBCDAGC ABAEDBBG
GFFAFAFC DCCCGEDG
FBCGADEC GDEGDFBD
BGEGAGGD CFGBEEDE
ACEGBAGB BFAGEADA
